SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
536170,KUSHAL      ,T ,Q,10.44,10.44,9.46,9.46,9.46,9.95,76,55334,569895.00,
536264,TIGER LOGS  ,X ,Q,72.00,73.40,70.00,73.40,73.40,71.55,25,5472,389316.00,
536493,JKAGRI GEN  ,X ,Q,540.00,618.00,540.00,587.85,589.00,524.50,103,988,570417.00,
536507,FUTLIF FAS  ,A ,Q,457.00,463.95,451.05,462.60,463.00,455.90,69,823,376162.00,
536659,PVVINFRA    ,XT,Q,22.35,24.50,22.35,22.35,22.35,23.50,10,1357,32003.00,
536709,INDRENEW    ,X ,Q,18.75,18.75,17.00,17.10,17.00,18.90,27,3810,67262.00,
536751,FIVEXTRADE  ,X ,Q,0.37,0.37,0.36,0.36,0.36,0.37,2,433,157.00,
536868,INTEGRA TELE,XT,Q,10.82,10.82,10.82,10.82,10.82,10.61,1,1,10.00,
536960,M100        ,B ,Q,16.70,16.95,16.05,16.95,16.95,16.86,10,687,11472.00,
536974,CAPTAIN POLY,X ,Q,24.75,25.80,24.75,25.50,25.50,25.20,30,20762,526490.00,
537007,ICICINIFTY  ,B ,Q,117.25,119.34,117.25,118.03,118.04,118.42,133,2764,327379.00,
537008,ICICINF100  ,B ,Q,122.00,122.00,122.00,122.00,122.00,123.00,1,1,122.00,
537069,ARNOLD HOLD ,X ,Q,6.25,6.60,6.11,6.60,6.60,6.20,23,87925,577924.00,
537092,MODEX INT   ,X ,Q,47.65,47.65,47.65,47.65,47.65,46.05,1,49,2334.00,
537253,SUNIL HEALTH,X ,Q,27.25,28.55,25.90,25.90,25.90,27.25,8,48,1358.00,
537254,RCI IND     ,X ,Q,56.25,56.35,53.00,53.70,54.00,58.45,108,6167,336233.00,
537259,SUYOG TELE  ,X ,Q,420.00,466.00,420.00,450.00,450.00,435.00,11,64,27793.00,
537291,NATH BIOGEN ,B ,Q,393.25,394.25,376.05,385.50,385.80,388.00,446,4731,1836045.00,
537292,AGRI TECH   ,B ,Q,53.25,53.50,52.50,52.70,52.75,53.00,42,1589,84291.00,
537483,RELCNX100   ,B ,Q,117.45,117.45,117.45,117.45,117.45,116.38,1,300,35235.00,
537524,VIAANINDUS  ,X ,Q,4.15,4.15,3.83,3.91,3.95,4.03,51,12172,47959.00,
537536,DENIS CHEM  ,X ,Q,48.00,56.90,46.10,49.30,49.30,49.10,95,4406,216559.00,
537708,KOTAKNIFTY  ,B ,Q,117.20,117.72,116.69,116.81,116.89,116.62,25,824,96610.00,
537750,KIRAN VYPAR ,X ,Q,85.05,86.80,85.00,86.80,86.80,87.25,5,200,17178.00,
537766,BCP LTD     ,B ,Q,42.50,42.50,39.00,40.90,40.90,42.20,1716,2735526,114082470.00,
537800,MANGALAM IND,X ,Q,0.32,0.32,0.32,0.32,0.32,0.31,6,11060,3539.00,
537839,PHOENIX TN  ,X ,Q,8.50,8.50,8.50,8.50,8.50,8.10,1,50,425.00,
537840,RAUNAQEPC   ,XT,Q,31.40,31.40,31.40,31.40,31.40,32.00,2,2,62.00,
538019,OBI LTD     ,X ,Q,6.30,6.45,6.21,6.21,6.21,6.33,30,13304,83664.00,
538057,CPSE ETF    ,B ,Q,24.98,25.14,24.78,24.86,24.86,25.18,3515,16483863,411825567.00,
538081,HARIA APL   ,XT,Q,1.26,1.26,1.26,1.26,1.26,1.32,3,3200,4032.00,
538092,JOONKTOLLEE ,X ,Q,129.15,129.15,129.15,129.15,129.15,123.45,1,25,3228.00,
538119,RNB DENIMS  ,B ,Q,21.60,26.30,21.60,26.30,26.30,24.00,5,164,4294.00,
538128,WOMENS NEXT ,M ,Q,1.96,1.98,1.95,1.98,1.98,2.13,7,14000,27500.00,
538268,WONDERLA    ,B ,Q,250.50,263.60,246.30,257.50,263.60,250.30,72,607,153088.00,
538319,GCM CAPI    ,M ,Q,1.20,1.20,1.00,1.20,1.20,1.00,6,6000,6810.00,
538365,ADHUNIKIND  ,B ,Q,94.00,95.90,94.00,94.05,94.05,94.00,20,786,74131.00,
538422,JACKSON     ,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,5,1400,266.00,
538423,ALPS MOTOR  ,XT,Q,0.34,0.34,0.34,0.34,0.34,0.34,25,16087,5469.00,
538432,DIVINUS     ,XT,Q,24.25,24.25,24.20,24.25,24.25,24.20,22,11624,281582.00,
538433,CLASSIC     ,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,1,2500,475.00,
538464,TPROJECT    ,X ,Q,1.08,1.08,1.08,1.08,1.08,1.08,3,250,270.00,
538465,AMARSEC     ,XT,Q,17.80,17.80,17.80,17.80,17.80,18.05,1,25,445.00,
538476,CTL         ,X ,Q,3.50,3.96,3.50,3.67,3.55,3.31,36,33151,121645.00,
538521,CROWNTOURS  ,X ,Q,23.05,23.90,22.20,22.20,22.20,22.80,14,9477,222357.00,
538539,JTAPARIA    ,X ,Q,0.20,0.20,0.20,0.20,0.20,0.20,1,2000,400.00,
538562,SKIPPER     ,B ,Q,48.00,48.00,45.35,46.45,46.50,47.95,106,4047,187775.00,
538564,JAMESWARREN ,X ,Q,96.00,96.00,87.55,89.85,87.55,91.00,17,5309,477948.00,
538566,APOLLOTRI   ,X ,Q,203.00,208.00,201.20,204.25,203.90,200.25,324,43299,8833848.00,
538567,GULFOIL LUB ,B ,Q,800.00,800.05,765.00,771.60,776.90,800.75,136,448,352371.00,
538569,TRIVENI ENT ,XT,Q,98.00,98.00,98.00,98.00,98.00,98.00,2,500,49000.00,
538570,ACHAL       ,XT,Q,0.77,0.77,0.77,0.77,0.77,0.77,1,500,385.00,
538575,SOLISMAR    ,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,1,50,9.00,
538598,VISHAL      ,B ,Q,345.00,345.00,343.00,343.00,343.00,345.00,4,135,46450.00,
538607,TOYAMIND    ,X ,Q,4.30,4.35,4.05,4.19,4.10,4.34,233,426354,1805074.00,
538608, DWITIYA    ,Z ,Q,4.95,5.04,4.95,5.00,5.00,5.10,24,100016,498604.00,
538610,UNISON      ,XT,Q,53.00,53.40,53.00,53.00,53.00,53.25,7,5100,271260.00,
538634,VRL         ,X ,Q,29.25,29.25,28.35,28.35,28.35,29.65,2,2,57.00,
538635,SNOWMAN     ,B ,Q,29.85,30.05,29.10,29.85,29.85,29.75,103,17000,505024.00,
538653,EML         ,X ,Q,0.95,0.95,0.95,0.95,0.95,0.94,11,2286,2171.00,
538666,SHARDACROP  ,A ,Q,292.90,297.50,288.50,290.30,292.00,305.05,86,1454,426059.00,
538668,NAYSAA      ,M ,Q,44.00,49.50,44.00,49.50,49.50,54.00,3,12000,571000.00,
538685,SHEMAROO    ,B ,Q,345.00,356.85,340.10,356.00,356.00,342.75,13,161,56071.00,
538706,ULTRACAB    ,X ,Q,54.25,54.40,53.00,53.00,53.00,55.00,16,6099,326816.00,
538708,ETIL        ,X ,Q,9.31,9.31,8.43,8.83,8.83,8.87,5,122,1081.00,
538713,ATISHAY     ,X ,Q,61.00,63.50,60.00,60.00,60.00,60.00,22,4523,275376.00,
538715,DHABRIYA    ,X ,Q,49.00,49.00,49.00,49.00,49.00,43.30,1,100,4900.00,
538730,PDSMFL      ,B ,Q,359.00,361.75,344.00,346.40,350.00,357.65,48,695,244218.00,
538765,JSHL        ,M ,Q,8.00,8.35,8.00,8.00,8.00,8.01,20,110000,909000.00,
538772,NIYOGIN     ,B ,Q,55.00,55.00,48.75,53.10,51.05,53.00,29,2772,148426.00,
538778,AKASHDEEP   ,XT,Q,35.00,35.05,34.90,35.00,35.00,33.40,14,50050,1747819.00,
538787,GBFL        ,XT,Q,1.44,1.44,1.44,1.44,1.44,1.42,2,311,447.00,
538795,SAPPL       ,X ,Q,185.00,191.90,175.00,175.50,175.00,182.95,18,14474,2533047.00,
538812,AANCHALISP  ,B ,Q,12.54,12.65,11.81,12.16,12.17,12.55,70,294184,3607483.00,
538835,INTELLECT   ,A ,Q,215.50,243.50,211.65,235.70,238.00,248.80,6424,306333,70348014.00,
538836,MONTECARLO  ,B ,Q,261.00,286.15,258.50,268.50,268.50,263.65,138,4162,1116321.00,
538837,JSTL        ,X ,Q,25.90,25.90,21.30,23.85,24.00,22.00,16,1055,23049.00,
538858,CAMSONBIO   ,XT,Q,12.74,12.95,12.74,12.74,12.74,12.99,28,17472,223010.00,
538860,PANAFIC     ,XT,Q,0.31,0.31,0.29,0.29,0.30,0.30,21,494400,152624.00,
538868,CSL         ,XT,Q,6.95,6.95,6.95,6.95,6.95,7.25,2,5000,34750.00,
538882, EMERALD    ,X ,Q,11.47,11.47,10.39,10.39,10.39,10.93,3,276,2894.00,
538891,MCLOUD      ,X ,Q,29.80,29.90,29.30,29.90,29.90,29.75,929,138278,4116983.00,
538896,KANCHI      ,XT,Q,242.85,242.85,236.05,242.85,242.85,231.30,104,7161,1738129.00,
538902,DHUN TEAIND ,B ,Q,179.00,179.80,178.30,178.30,178.30,181.00,5,35,6281.00,
538922,COSYN       ,X ,Q,30.25,30.50,29.55,30.50,30.50,29.65,8,154,4692.00,
538928,KARNAVATI   ,T ,Q,27.00,27.70,27.00,27.55,27.45,26.50,12,1628,44505.00,
538943,SONAL       ,XT,Q,20.80,20.80,20.70,20.80,20.80,20.40,6,1285,26708.00,
538961,GENUSPAPER  ,B ,Q,4.60,4.95,4.60,4.88,4.95,4.62,22,15687,75876.00,
538962,MINDACORP   ,B ,Q,97.75,97.85,93.85,95.25,95.00,96.60,99,7138,687897.00,
538964,MERCURYLAB  ,XT,Q,277.00,277.00,250.80,250.80,250.80,264.00,2,30,7786.00,
538965,CONCORD     ,XT,Q,20.35,20.35,20.35,20.35,20.35,21.40,1,100,2035.00,
538987,TALBROSENG  ,X ,Q,95.00,95.00,91.00,91.00,91.00,95.15,5,324,30764.00,
539006,PTCIL       ,X ,Q,374.90,379.10,374.90,379.00,379.00,361.05,8,624,236297.00,
539009,GBLIL       ,X ,Q,4.76,4.76,4.76,4.76,4.76,4.85,1,10,47.00,
539017,ASHFL       ,B ,Q,37.95,37.95,35.00,36.95,37.70,35.60,34,1226,44437.00,
539018,BEEKAY      ,X ,Q,274.90,274.90,254.00,255.30,254.00,252.05,12,281,73698.00,
539026,SSPNFIN     ,M ,Q,40.00,46.25,40.00,46.25,46.25,45.35,6,36000,1512900.00,
539031,SETFBSE100  ,B ,Q,118.00,118.50,118.00,118.25,118.25,117.25,7,1015,120237.00,
539032,FRASER      ,X ,Q,9.10,9.55,9.00,9.52,9.52,9.20,31,56150,523137.00,
539040,TTIL        ,XT,Q,1.14,1.14,1.14,1.14,1.14,1.20,4,459,523.00,
539042,AGIIL       ,T ,Q,53.85,53.85,48.75,53.75,53.75,51.30,7,120,5950.00,
539043,BKMINDST    ,B ,Q,2.39,2.46,2.38,2.42,2.46,2.50,4,473,1135.00,
539044,MANAKSTELTD ,B ,Q,13.10,13.10,11.85,11.90,12.40,12.60,14,437,5403.00,
539045,MNKALCOLTD  ,B ,Q,4.79,5.12,4.79,4.93,4.91,5.19,12,2087,10316.00,
539046,MNKCMILTD   ,B ,Q,4.62,4.62,4.18,4.18,4.18,4.40,2,15,64.00,
539056,ADLABS      ,B ,Q,3.90,4.14,3.82,4.11,4.14,3.95,19,8707,34125.00,
539083,INOXWIND    ,A ,Q,59.00,61.25,57.45,57.85,58.80,58.55,514,37560,2218413.00,
539097,YOGYA       ,M ,Q,27.50,27.50,27.50,27.50,27.50,27.50,1,8000,220000.00,
539113,PML         ,X ,Q,1009.00,1049.00,950.00,988.05,984.00,1060.00,59,211,211350.00,
539118,VRLLOG      ,B ,Q,252.40,253.00,249.75,252.10,251.40,252.60,90,2448,615925.00,
539122,BODHTREE    ,X ,Q,41.85,41.85,39.95,40.80,40.80,40.60,60,19417,792358.00,
539123,VBIND       ,XT,Q,1.84,1.84,1.82,1.82,1.82,1.85,2,2,3.00,
539126,MEP         ,B ,Q,32.05,32.50,31.60,31.80,31.80,32.45,771,67443,2155773.00,
539131,CLLIMITED   ,Z ,Q,1.71,1.71,1.71,1.71,1.71,1.80,2,83,141.00,
539132,VEGETABLE   ,X ,Q,2.75,2.90,2.51,2.90,2.90,2.87,7,1022,2944.00,
539141,UFO         ,B ,Q,162.45,164.20,156.55,157.75,157.25,162.40,81,1074,172901.00,
539143,PANTH       ,X ,Q,121.85,121.85,118.50,120.00,120.00,120.80,438,137016,16544164.00,
539148,SHIVALIK    ,X ,Q,219.95,219.95,208.95,214.25,218.50,205.85,10,240,50573.00,
539150,PNCINFRA    ,A ,Q,190.55,193.05,190.00,191.55,191.80,190.15,363,11960,2287558.00,
